city,state,country,shape,comments,latitude,longitude,date,time,datetime
porthcawl (uk/wales),,United Kingdom,other,low flying shining disapearing flying object,51.479722,-3.706111,2002-01-27,16:25,2002-01-27 16:25
chiclana (spain),,Spain,circle,the big cricle light,36.416505,-6.14611,2002-01-27,20:30,2002-01-27 20:30
papendrecht (netherlands),,Netherlands,light,I was sitting on my couch watching the sky I live on the 4th floor of an appartment building&#44 Sun was going under and sky was exelen cl,51.842481,4.694183,2003-12-07,17:00,2003-12-07 17:00
peterborough (uk/england),,United Kingdom,light,yellow light that hovered and the flew straight the upwards,52.583333,-0.25,2004-01-27,18:43,2004-01-27 18:43
portlaoise (republic of ireland),,Ireland,triangle,noise less in shape of triangle with three red lights.,53.032812,-7.298793,2004-01-27,22:00,2004-01-27 22:00
meda (indonesia),,Indonesia,light,please tell us the truth  500 Lights On Object0: Yes,45.661124,9.152425,2007-01-27,05:20,2007-01-27 05:20
cheshire (uk/england),,United Kingdom,changing,Cheshire UK England.20 seconds(approx) two slowly moving star-like objects moving together then apart before disappearing,53.166667,-2.583333,2008-01-27,18:53,2008-01-27 18:53
manchester (uk/england),,United Kingdom,changing,three bright lights different colours&#44 changing shapes.,53.5,-2.216667,2008-01-27,19:30,2008-01-27 19:30
runcorn (uk/england),,United Kingdom,fireball,5 burning slow moving objects phtographed in england,53.333333,-2.75,2008-12-07,19:45,2008-12-07 19:45
hunstanton (uk/england),,United Kingdom,light,lights over ringstead&#44norfolk&#44uk,52.95,0.5,2011-01-27,19:30,2011-01-27 19:30
peterborough (uk/england),,United Kingdom,cross,glowing triangles in East Anglia U.K.,52.583333,-0.25,1996-01-28,21:00,1996-01-28 21:00
london (uk/england),,United Kingdom,disk,strange disk shapes in opening of clouds,51.514125,-0.093689,2003-01-28,14:08,2003-01-28 14:08
hoofddorp (netherlands),,Netherlands,triangle,neon pink deltashape,52.306085,4.690704,2003-12-08,21:15,2003-12-08 21:15
blackpool (uk/england),,United Kingdom,disk,=Ufo over train station/ makes a powercut/lasts 7 mins/makes air raid siren noise/ turns into water=,53.816667,-3.05,2005-12-08,00:30,2005-12-08 00:30
birmingham (uk/england),,United Kingdom,changing,More strange lights and even smells over cannock chase.,52.466667,-1.916667,2005-12-08,03:00,2005-12-08 03:00
dikaia-evros (greece),,Greece,diamond,On 10/23/2006&#44 at 03:00&#8217; two of my best friends and I where at Dikaia&#44 which is a small vilage near Orestiada of Evros &#8211; GREECE&#44 and we,41.704591,26.296441,2006-01-28,03:00,2006-01-28 03:00
kilsyth (uk/england),,United Kingdom,light,20 lights changing colours above Kilsyth in the United Kingdom  500 Lights On Object0: Yes,55.966667,-4.05,2007-01-28,18:30,2007-01-28 18:30
great yarmouth (uk/england),,United Kingdom,light,Bright orange light travelling faster than usual with no sound at all&#33,52.633333,1.75,2009-12-08,19:00,2009-12-08 19:00
swadlincote nr burton upon trent (uk/england),,Uk/england,triangle,A Triangular object with lights in each corner and a central light was seen. It circled slowly at low altitude (500 ft) below cloud cov,52.79451,-1.62316,1998-01-29,19:30,1998-01-29 19:30
ermelo (netherlands),,Netherlands,changing,changing shaped UFO&#39s change colour and turn at fast speed,52.298666,5.629619,2002-01-29,22:00,2002-01-29 22:00
mazarron. murcia (spain),,Spain,light,Bright light at dawn&#44 slowly moving west east.,37.595818,-1.314735,2003-01-29,07:30,2003-01-29 07:30
mazarron (spain),,Spain,light,HBCCUFO CANADIAN REPORT:  Bright white light moving very slowly west to east,37.595818,-1.314735,2003-01-29,20:00,2003-01-29 20:00
lourinha (portugal),,Portugal,triangle,Triangle shaped lights disapeard on the sky,39.241485,-9.312951,2004-12-09,22:05,2004-12-09 22:05
london (uk/england),,United Kingdom,other,Violet&#44 hexagon shaped&#44 just flew over,51.514125,-0.093689,2005-12-09,15:30,2005-12-09 15:30
london (uk/england),,United Kingdom,light,Silver light ober Croydon UK. Much to bright and fast to be a plane.,51.514125,-0.093689,2007-12-09,05:50,2007-12-09 05:50
edinburgh (uk/scotland),,United Kingdom,cylinder,silver&#44 cylinder&#44 no fumes&#44 wings&#44 tail or windows and vanished completely in clear blue skies,55.833333,-3.083333,2007-01-29,10:08,2007-01-29 10:08
reading (uk/england),,United Kingdom,light,4 low orange lights moving in a line,51.433333,-1.0,2010-12-09,19:10,2010-12-09 19:10
london (uk/england),,United Kingdom,fireball,Yellow/orange roundish fireball&#44 faded off into the distance.,51.514125,-0.093689,2013-12-09,20:30,2013-12-09 20:30
chemnitz (germany),,Germany,oval,UFO during wintertime 1993/1994 in Chemnitz/Germany. 500 Lights On Object0: Yes,50.833333,12.916667,1994-01-30,18:00,1994-01-30 18:00
voorburg (netherlands),,Netherlands,circle,Small object&#44 colour red&#44 within the atmosphere. Flying very fast and turning around easely.,52.076158,4.362541,2003-01-30,20:16,2003-01-30 20:16
krommenie (netherlands),,Netherlands,light,Strange red lights over Krommenie&#44 The Netherlands,52.503478,4.75717,2003-01-30,22:33,2003-01-30 22:33
kirchzell (germany),,Germany,light,Sighting/Abduction?,49.618889,9.177778,2004-01-30,23:00,2004-01-30 23:00
london (uk/england),,United Kingdom,sphere,Slow moving bright sphere&#44 5x as large as star&#44 10x brighter. Intense white&#44 blue and red.  ((NUFORC Note:  Sirius sighting.  PD)),51.514125,-0.093689,2007-01-30,23:30,2007-01-30 23:30
cumbernauld (uk/scotland),,United Kingdom,sphere,Green light flying from right to left stops then shoots upward and away,55.95,-3.983333,2008-01-30,20:35,2008-01-30 20:35
forth estuary (edinburgh) (uk/scotland),,United Kingdom,sphere,Pink Coloured Sphere,56.166667,-2.75,2011-01-30,19:25,2011-01-30 19:25
coimbra (portugal),,Portugal,circle,Big object for 3 minutes moving up and down and spining slow. Take some pictures.,40.203315,-8.410257,2012-01-30,23:30,2012-01-30 23:30
herk-de-staad (belgium),,Belgium,formation,it flew like an ~ and it was a sort of gray eggformed dish,50.93923,5.16712,2003-01-31,09:56,2003-01-31 09:56
nice (france),,France,triangle,Triangular shaped UFO over Nice&#44 south of France (January 2007),43.710173,7.261953,2007-01-31,18:30,2007-01-31 18:30
boston&#44 lincolnshire (uk/england),,Uk/england,light,Boston&#44 Lincolnshire-Bright Circular Light,52.97894,-0.026577,2010-01-31,00:14,2010-01-31 00:14
birmingham (uk/england),,United Kingdom,unknown,Fluttering amorphous shape in night sky&#44 transparent or camoflaged against stars and not moving,52.466667,-1.916667,2001-01-03,00:00,2001-01-03 00:00
cambridge (uk/england),,United Kingdom,other,grey boomerang almost tye same colour as the sky,51.733333,-2.366667,2001-01-03,18:20,2001-01-03 18:20
burnley (uk/england),,United Kingdom,triangle,25 v shaped objects flying in formation at low altitude&#44then climbed quickly to high altitude&#44 were stationary then disappeared,53.8,-2.233333,2001-01-03,22:00,2001-01-03 22:00
edinburgh (uk/england),,United Kingdom,light,flashing brightly,55.833333,-3.083333,2003-01-03,21:00,2003-01-03 21:00
&ouml;lmstad (sweden),,Sweden,circle,We where walking home at 6:20 PM on the third of January 2004 when we saw a circular object in the sky. The object flew very quickly ac,57.933333,14.366667,2004-01-03,06:20,2004-01-03 06:20
brighton (uk/england),,United Kingdom,oval,Black oval with 3 flashing lights and 20 white lines.,50.833333,-0.15,2006-01-03,07:30,2006-01-03 07:30
maidstone (uk/england),,United Kingdom,fireball,3 purple/grey firball object&#44 2 chasing 1&#44observed 8.00 clear morning over penenden heath&#44maidstone&#44kent&#44uk,51.266667,0.516667,2006-01-03,08:00,2006-01-03 08:00
rainham (uk/england),,United Kingdom,disk,disk shaped craft with intense bright white lights travelling northwest.,51.35,0.6,2006-01-03,11:30,2006-01-03 11:30
norton (uk/england),,United Kingdom,sphere,want to know of other sightings tonight,52.3,-3.016667,2007-01-03,21:00,2007-01-03 21:00
tramore (ireland),,Ireland,fireball,Variable fireball that stopped and hovered then flew away and faded away,52.161435,-7.149295,2009-01-03,20:13,2009-01-03 20:13
gosberton (uk/england),,United Kingdom,circle,Bright circular light travelling at high speed in Lincolnshire,52.85,-0.15,2009-01-03,20:30,2009-01-03 20:30
flint&#44 flintshire (uk/wales),,United Kingdom,light,Bright red light moves in winter sky and then shoots upwards.,53.248236,-3.13577,2010-01-03,18:25,2010-01-03 18:25
whitchurch (uk/england),,United Kingdom,fireball,3 bright orange balls moving across the sky.,51.994167,-4.696111,2010-01-03,19:30,2010-01-03 19:30
boston (uk/england),,United Kingdom,light,Boston College UFO,52.983333,-0.016667,2011-01-03,00:35,2011-01-03 00:35
conwy (uk/wales),,United Kingdom,sphere,Hy&#44 I will check the date as I did report it to a local spotter after some research on web&#44 I wouldnt have bothered but with you asking,53.283333,-3.833333,2011-01-03,24:00,2011-01-03 24:00
dhoon glen (isle of man) (uk/england),,Isle of man,other,Differing mysterious objects in same area&#44 repeated sightings.,54.25,-4.366667,2013-01-03,04:30,2013-01-03 04:30
san gwann (malta),,Malta,sphere,Bright Green sphere of light.  ((NUFORC Note:  Possible meteor?  PD)),35.909444,14.478611,2013-01-03,23:30,2013-01-03 23:30
debrecen,,Fuck,oval,Pulsing shiny orange orb for about 2-3 minutes.,47.531605,21.627312,2014-01-03,20:38,2014-01-03 20:38
northampton (uk/england),,United Kingdom,circle,very strange&#33 looked out window&#44 saw vey fast object totaly silent go across the sky. same night as eathquake in England.,52.25,-0.883333,2003-01-04,22:00,2003-01-04 22:00
espoo (kilo) (finland)),,Finland,fireball,There were flames in the sky&#44 like an aeroplane in fire or candle.,60.205491,24.6559,2003-01-04,22:15,2003-01-04 22:15
kidderminster (uk/england),,United Kingdom,light,2 orange lights making sudden manouvres in the sky&#44 seperating and rejoining.,52.383333,-2.25,2005-01-04,20:05,2005-01-04 20:05
york (uk/england),,United Kingdom,triangle,Craft was very fast and slim&#44 with coloured lights,53.954115,-1.064262,2006-01-04,01:26,2006-01-04 01:26
jarna (sweden),,Sweden,light,Two lights moving slowly soundlessly towards and overhead.,49.151784,5.88585,2010-01-04,19:20,2010-01-04 19:20
coventry (uk/england),,United Kingdom,oval,Amazing.,52.416667,-1.55,2014-01-04,18:20,2014-01-04 18:20
viby sjealland (denmark),,Denmark,light,A seeming satelite which suddenly stopped and changed direction over the skies near Roskilde Denmark.,55.548638,12.023798,2009-01-05,00:00,2009-01-05 00:00
uk/scotland,,United Kingdom,diamond,EXTREMELY BRIGHT ILLUMINATED &amp; DIAMOND SHAPED AND RIGHT ABOVE MY CAR&#33,56.490671,-4.202646,2010-01-05,19:15,2010-01-05 19:15
london (uk/england),,United Kingdom,fireball,GREEN BALL OF LIGHT APPROX 17.00 JANUARY 1995,51.514125,-0.093689,1995-01-06,17:00,1995-01-06 17:00
nottingham (uk/england),,United Kingdom,diamond,bright glowing object left tracer mark as it sped off,52.966667,-1.166667,1996-01-06,04:30,1996-01-06 04:30
purmerend (netherlands),,Netherlands,formation,stunt show made by 3 objects....,52.514382,4.964061,2001-01-06,02:30,2001-01-06 02:30
kirkham&#44 preston (uk/england),,Uk/england,sphere,Circular&#44 silver&#44 metallic&#44 shiny object&#44 no bigger than a football&#44 moving at a steady speed&#44,53.782164,-2.871765,2003-01-06,16:00,2003-01-06 16:00
halesowen (uk/england),,United Kingdom,circle,6 orange disc like objects came out of the East,52.45,-2.05,2007-01-06,22:40,2007-01-06 22:40
whitburn (uk/england),,United Kingdom,sphere,90 oval discs over small UK coastal town,55.866667,-3.683333,2008-01-06,02:00,2008-01-06 02:00
reading (berkshire) (uk/england),,United Kingdom,oval,White bright light seen performing incredible movements over a small village in Reading&#44 Berkshire&#44 UK,51.433333,-1.0,2009-01-06,22:00,2009-01-06 22:00
bradford (uk/england),,United Kingdom,light,Bright lights and Blue Lightning North East of Bradford,51.0,-3.183333,2010-01-06,07:18,2010-01-06 07:18
desside (uk/wales),,United Kingdom,fireball,Bright golden spherical object that seemed to be burning with pieces falling from it.,53.202661,-3.030351,2010-01-06,20:20,2010-01-06 20:20
hook hampshire (uk/england),,Uk/england,disk,UFO sighting Hook Hampshire UK,51.280906,-0.963043,1990-01-07,23:00,1990-01-07 23:00
stockholm (sweden),,Sweden,formation,A chilly wind hit us from behind on a night with no wind at all.,59.329323,18.068581,2003-01-07,03:00,2003-01-07 03:00
bangor (uk/wales) (north wales),,United Kingdom,light,Two very very bright lights white/blue in colour which were going around each other and then disapeared,53.0,-2.916667,2003-01-07,06:45,2003-01-07 06:45
faro (portugal),,Portugal,light,GLOWING WHITE LIGHT LOOSING THREE RED SPARKS,57.944187,19.142479,2006-01-07,03:30,2006-01-07 03:30
lyme regis (uk/england),tn,United Kingdom,triangle,an amazing crafts with very bright lights and high speed,50.733333,-2.933333,2006-01-07,06:40,2006-01-07 06:40
warminster (4 miles from) (uk/england),,United Kingdom,sphere,A bright ball of light moving towards us faded from sight. Object seen by 6 people and captured on video,51.203611,-2.180833,2006-01-07,19:30,2006-01-07 19:30
lincoln (uk/england),,United Kingdom,other,a medium size light in the sky with smaller lights around it,53.233333,-0.533333,2007-01-07,18:10,2007-01-07 18:10
rzesz&oacute;w (poland),,Poland,disk,UFO Rzesz&oacute;w,50.040947,21.999281,2009-01-07,18:20,2009-01-07 18:20
boston&#44 lincolnshire (uk/england),,United Kingdom,light,Formation of lights.,52.97894,-0.026577,2012-01-07,01:15,2012-01-07 01:15
swansea (uk/wales),,United Kingdom,flash,Green pulsating lights over loughor&#44 setting off house and car alarms.,51.633333,-3.966667,2013-01-07,18:00,2013-01-07 18:00
worsley&#44 manchester (uk/england),,United Kingdom,teardrop,Tear drop shape&#44 emitting dull gold glow at around 7000 feet. Moving at same speed as airliners in landing pattern in same vicinity.,53.50754,-2.391199,1997-01-08,16:00,1997-01-08 16:00
manchester (uk/england),,United Kingdom,triangle,rotating triangle of light,53.5,-2.216667,1997-01-08,24:00,1997-01-08 24:00
poole&#44 dorset (uk/england),,Uk/england,fireball,Sighting of strange orange light (ball of fire?) in Poole Dorset 1998,50.71505,-1.987248,1998-01-08,22:00,1998-01-08 22:00
beech hill&#44 berkshire (uk/england),,United Kingdom,sphere,Metallic sphere spotted in the sky&#44 object was reflective&#44 didn&#39t move&#44 after a minute it had vanished from sight...,51.374313,-1.001312,2000-01-08,08:36,2000-01-08 08:36
gozo island (malta),,Malta,unknown,inverted shaft of weak light,36.0443,14.251222,2004-01-08,11:00,2004-01-08 11:00
london (uk/england),,United Kingdom,light,it is horrifying,51.514125,-0.093689,2004-01-08,15:05,2004-01-08 15:05
conisholme (uk/england),,United Kingdom,circle,I would first like to explain that I did not witness the following occurence&#44 but am mearly reporting it.In the early hours of Janu,53.438116,0.109506,2009-01-08,04:00,2009-01-08 04:00
boston&#44 lincolnshire (uk/england),,United Kingdom,light,Simply noticed a green circular light 2&#44000 ft in the sky stationary over some houses a quarter of a mile away. Simply looked like a bu,52.97894,-0.026577,2009-01-08,05:45,2009-01-08 05:45
rotterdam (netherlands),,Netherlands,light,Bright lights near Rotterdam Airport,51.921667,4.481111,2012-01-08,09:00,2012-01-08 09:00
caterham (uk/england),,United Kingdom,other,Witness sees blue light pass across the nighttime sky quickly.,51.266667,-0.083333,2012-01-08,20:30,2012-01-08 20:30
worcester (midlands) (uk/england),,United Kingdom,light,We had just turned off a slip road to get on to the motorway&#44 as I was heading back to University&#44 when I saw a light in the sky which,52.166667,-2.166667,2000-01-09,15:30,2000-01-09 15:30
sonderborg (denmark),,Denmark,rectangle,On a road in between Sonderborg and Graasten in Denmark&#44 on the way to work at the parent Danish firm that I work for in the USA. At ab,54.913811,9.792178,2001-01-09,07:55,2001-01-09 07:55
stafford (uk/england),,United Kingdom,circle,CIRCULAR GREEN LIGHT OVER HOUSING ESTATE.,52.833333,-2.0,2001-01-09,22:45,2001-01-09 22:45
oldbury (uk/england),,United Kingdom,triangle,Transparent Triangular object with no lights&#44 but having circles at each corner.,52.55,-1.533333,2005-01-09,17:30,2005-01-09 17:30
broadstairs (uk/england,,Uk/england,changing,we saw a white moving light in the sky which changed intoa large orange fire ball&#44followed by a smaller concave orange shape,51.360163,1.432038,2008-01-09,23:00,2008-01-09 23:00
portsmouth (uk/england),,United Kingdom,light,Strange Flashing light out over the English Channel,50.7967,-1.083333,2009-01-09,19:52,2009-01-09 19:52
oxfordshire (uk/england),,United Kingdom,fireball,A large orange ball of fire appeared in the sky from nowhere travelled horizontally and then faded.,51.782296,-1.314047,2010-01-09,17:38,2010-01-09 17:38
borehamwood (uk/england),,United Kingdom,circle,Circle of blinking white lights.,51.65,-0.266667,2013-01-09,18:20,2013-01-09 18:20
clackmannanshire (forth valley) (uk/scotland),,United Kingdom,oval,I have pictures of aliens please read&#44 help needed.,56.166667,-3.75,2013-01-09,23:43,2013-01-09 23:43
london (uk/england),,United Kingdom,changing,Three points of light in the formation of a triangle moving very swiftly across the sky&#44 it rotated (or appeared to spin) once.,51.514125,-0.093689,2014-01-09,21:20,2014-01-09 21:20
troms&oslash; (norway),,Norway,light,Bright light zig-zagging above silhouette of forest in northern Norway&#44 for appx. 3 mins. Disappeared downwards.,69.649205,18.955324,1999-02-10,01:00,1999-02-10 01:00
easthagbourne&#44 oxfordshire (uk/england),,Uk/england,triangle,60 or more UFOs seen by 5 witnesses over fields near a small village..........,51.594529,-1.234521,2000-02-10,03:00,2000-02-10 03:00
renkum (netherlands),,Netherlands,circle,i saw a yellow/green flashing object in the sky,51.983495,5.742053,2003-02-10,01:15,2003-02-10 01:15
uk/england,,United Kingdom,light,glowing orb of light low down in the sky moving very oddly emmiting no noise what so ever&#33&#33&#33,52.355518,-1.17432,2005-02-10,22:35,2005-02-10 22:35
arbroath (uk/scotland),,United Kingdom,circle,white lighted circular craft that moved at speed and was behind clouds,56.55,-2.583333,2005-02-10,24:00,2005-02-10 24:00
maidenhead (uk/england),,United Kingdom,light,((HOAX??))  Synchronized red lights,51.516667,-0.7,2008-02-10,02:00,2008-02-10 02:00
london (uk/england),,United Kingdom,circle,Silver bright obect over Heathrow,51.514125,-0.093689,2008-02-10,12:35,2008-02-10 12:35
barnet (uk/england),,United Kingdom,triangle,Square then triangular formation of lights North of London 10th. February 2009,51.65,-0.2,2009-02-10,18:22,2009-02-10 18:22
gwent (uk/wales),,United Kingdom,circle,red light in the sky,51.666667,-3.0,2009-02-10,19:20,2009-02-10 19:20
liverpool (uk/england),,United Kingdom,circle,4 lights moving slowly in formation,53.416667,-3.0,2009-02-10,20:00,2009-02-10 20:00
birmingham (uk/england),,United Kingdom,fireball,Three Orange/Red bright lights. Two together orbiting each other. the other some distance away.,52.466667,-1.916667,2009-02-10,21:50,2009-02-10 21:50
sunderland (uk/england),,United Kingdom,flash,red light over wearside veiwed from houghton - le - spring,54.911944,-1.383333,2010-02-10,19:45,2010-02-10 19:45
walferdange (luxembourge),,Luxembourg,triangle,((HOAX??))  Triangle&#44 UFO (my opinion a scout-ship) very fast&#44absolut clear view&#44 3 diff. lights no noise no sound.,49.662979,6.13324,2012-02-10,05:37,2012-02-10 05:37
burgess hill (uk/england),,United Kingdom,cone,I and my wife and child..age 14 witnessed two arrow shaped objects within a 2 minns apart of each other traveling at great speed across,50.966667,-0.133333,2012-02-10,19:52,2012-02-10 19:52
christchurch (uk/england),,United Kingdom,other,((HOAX??)) UFO&#39s activity over two days caught on still image camera (not man made craft checked all databases).,51.6,-2.95,2014-02-10,21:30,2014-02-10 21:30
sotira,,Fuck,other,A bell shape purple color object passed by me,35.026667,33.950278,2000-02-11,17:10,2000-02-11 17:10
st. albans (uk/england),,United Kingdom,formation,One bright flare-like light with 3 pinpoint lights moving towards it,51.75,-0.333333,2001-02-11,22:30,2001-02-11 22:30
suffolk/cambridgeshire/essex/london (uk/england),,Uk/england,light,Strange lights and a ring of unexplained fire.  ((NUFORC Note:  Possible sighting of Venus in the southwest sky??  PD)),51.765908,0.667367,2007-02-11,18:00,2007-02-11 18:00
wolverhampton (uk/england),,United Kingdom,light,4 red lights&#44 rectangle&#44 flying slowly west to east over Wolverhampton,52.583333,-2.133333,2008-02-11,18:30,2008-02-11 18:30
london (uk/england),,United Kingdom,circle,Sighting in Hornchurch&#44 Essex&#44 United Kingdom.  Round object with lights all around moving in sky not ascending or decending but after,51.514125,-0.093689,2012-02-11,21:05,2012-02-11 21:05
ljubljana-siska (slovenia),,Slovenia,triangle,Ufo sighting 2/11/2014 18.40h.,46.083972,14.506534,2014-02-11,18:40,2014-02-11 18:40
sunderland (uk/england),,United Kingdom,light,Two lights seen in Sunderland,54.911944,-1.383333,1997-02-01,18:30,1997-02-01 18:30
doncaster (uk/england),,United Kingdom,fireball,red fire ball free falling and disaperd,53.533333,-1.116667,2003-02-01,18:00,2003-02-01 18:00
tartu (estonia),,Estonia,triangle,Three triangle shaped lights moving really fast and dodging left&#44right.,58.380685,26.725015,2005-02-01,20:20,2005-02-01 20:20
london (uk/england),,United Kingdom,circle,Multiple orange blobs floating with a white plane following.,51.514125,-0.093689,2007-02-01,17:30,2007-02-01 17:30
long sutton&#44 lincolnshire (uk/england),,Uk/england,other,Flying Ferris Wheel.  ((NUFORC Note:  We are uncertain as to whether this is intended as a serious-minded report.  PD)),52.784978,0.120429,2009-02-01,11:20,2009-02-01 11:20
luxembourg (city) (luxembourg),,Luxembourg,triangle,Low altitude Triangle shaped UFO over Luxembourg City &#44 3 white light 1 red light in center.,49.815273,6.129583,2012-02-01,20:30,2012-02-01 20:30
iceland (near&#44 over north atlantic ocean),,Iceland,sphere,Flying home from England&#44 I looked out the window to see the sights.  We were flying well above the cloud cover.  It was a glorious&#44 su,64.963051,-19.020835,1999-02-12,01:00,1999-02-12 01:00
glasgow (uk/scotland),,United Kingdom,disk,weirdest thing we have ever seen certainly not an aircraft,55.833333,-4.25,2001-02-12,18:30,2001-02-12 18:30
torhout (belgium),,Belgium,circle,Green light ship,51.06498,3.10157,2002-02-12,18:56,2002-02-12 18:56
slough (uk/england),,United Kingdom,light,Orb of light Observed,51.5,-0.583333,2003-02-12,02:30,2003-02-12 02:30
newcastle upon tyne (uk/england),,United Kingdom,cigar,As me and two of my friends were standing on the bridge we were looking up towards the sky when all of a sudden long shaped craft apper,54.988056,-1.619444,2004-02-12,00:43,2004-02-12 00:43
london (uk/england),,United Kingdom,cigar,Sighting of glowing object above clouds.,51.514125,-0.093689,2005-02-12,08:30,2005-02-12 08:30
kingston upon hull (uk/england),,United Kingdom,unknown,((HOAX)) RAF CHASES SINGLE RED LIGHT,53.716667,-0.333333,2006-02-12,19:30,2006-02-12 19:30
luton (uk/england),,United Kingdom,light,small bright star like object hovering in the sky,51.883333,-0.416667,2008-02-12,11:20,2008-02-12 11:20
dalkieth (edinborough (uk/scotland),,United Kingdom,other,asteroid from bedroom window  through a skywatcher 4 in scope,55.893118,-3.066606,2008-02-12,21:25,2008-02-12 21:25
aalborg (denmark),,Denmark,egg,I saw a round egg shaped object hovering the sky&#44 it was grey or silver looking&#44 then it started moving away fast.,57.04882,9.921747,2009-02-12,14:00,2009-02-12 14:00
llandudno&#44 north wales (uk/wales),,United Kingdom,formation,4 yellow glows of light&#44 moving slowly&#44 like they were floating in water&#44 over llandudno.  ((NUFORC Note:  Possible flares??  PD)),53.324061,-3.827609,2010-02-12,21:40,2010-02-12 21:40
larkhall (uk/scotland),,United Kingdom,circle,Balls of fire in sky,55.733333,-3.966667,2012-02-12,00:30,2012-02-12 00:30
chelmsford (uk/england),,United Kingdom,oval,5 craft hovered in triangle formation and interupted all radio signals and vanished.,51.733333,0.483333,2004-02-13,03:00,2004-02-13 03:00
barcelona (spain),,Spain,other,Strange cloud over Barcelona&#44 Spain,41.385064,2.173403,2004-02-13,22:00,2004-02-13 22:00
dungarvan (republic of ireland),,Ireland,disk,Long metallic saucer flies accross sky&#44 stops suddenly&#44 it stationary for a moment then disappears instantly.,52.093676,-7.620363,2007-02-13,08:49,2007-02-13 08:49
thoiry (france),,France,circle,UFO sighting in Thoiry FRANCE (near CERN),48.865263,1.794903,2009-02-13,21:00,2009-02-13 21:00
london (uk/england),,United Kingdom,light,9 light formation with 1 trailing .....moving southeast over london uk &#44&#44&#44 no noise just 9 flame like glowing light formation . moving,51.514125,-0.093689,2010-02-13,00:00,2010-02-13 00:00
watford (hertfordshire) (uk/england),,United Kingdom,fireball,object was red and orange and looked to be on fire,52.3,-1.116667,2010-02-13,19:30,2010-02-13 19:30
coggeshall (uk/england),,United Kingdom,light,Bright Orange light that slowly faded,51.866667,0.683333,2010-02-13,23:55,2010-02-13 23:55
todmorden (uk/england),,United Kingdom,light,a small ball of light or a highly reflective surface was following an aircraft&#44 i looked up and saw a plane with a smoke trail flying h,53.716667,-2.083333,2000-02-14,15:34,2000-02-14 15:34
bradford (uk/england),,United Kingdom,flash,we saw flashing lights in the sky,51.0,-3.183333,2002-02-14,02:00,2002-02-14 02:00
stroud (uk/england),,United Kingdom,disk,Blue Saucer-shaped with white&#44 yellow&#44 and orange ext lights appeared and seemed to be searching over a lake&#44 then left.,51.75,-2.2,2002-02-14,22:36,2002-02-14 22:36
bilbao (spain),,Spain,diamond,I was driving home&#44 from a party where I have been drinking a little. I was alone in the darkness when I suddenly saw a huge craft whic,43.263013,-2.934985,2003-02-14,23:15,2003-02-14 23:15
glasgow (uk/scotland),,United Kingdom,circle,3 fast objects fly over glasgow (scotland),55.833333,-4.25,2004-02-14,21:00,2004-02-14 21:00
lancashire (uk/england),,United Kingdom,sphere,Bright orange light with flame behind it flying across the sky,53.888996,-2.633778,2006-02-14,19:28,2006-02-14 19:28
costa da caparica (portugal),,Portugal,light,red light crossing the sky on the shoreline,38.644684,-9.233385,2007-02-14,19:00,2007-02-14 19:00
lisburn (northern ireland),,Ireland,oval,Mach 3+ Oval&#44 Lisburn&#44 N. Ireland.,54.50972,-6.0374,2009-02-14,11:10,2009-02-14 11:10
morden&#44 surrey (uk/england),,Uk/england,circle,Circular object[s] seen in skies NNW in Morden UK,51.394943,-0.19446,2009-02-14,17:15,2009-02-14 17:15
carvoeiro (portugal),,Portugal,oval,Very Bright yellow light  high in the sky in Algarve,37.098519,-8.469395,2009-02-14,21:30,2009-02-14 21:30
grimsby (uk/england),,United Kingdom,fireball,Orange light viewed from open window&#44 object came back on itself&#44 stopped and then went away at speed with no noise or change of light.,53.533333,-0.05,2009-02-14,21:48,2009-02-14 21:48
hengelo (the netherlands),,Netherlands,fireball,Rotating fireball changes direction and speed&#44 with a rotating arm.,52.257412,6.792772,2009-02-14,23:00,2009-02-14 23:00
al andalus (kuwait),,Kuwait,circle,slow moving light switched off before running away faster on lower level,37.544271,-4.727753,2010-02-14,22:35,2010-02-14 22:35
munich (germany),,Germany,formation,I will tell you what three of my friends and I saw some years ago ( it was the time of the first Irak war)&#44 lying on the river &quot;Isar&quot; i,48.15,11.5833,1991-02-15,00:00,1991-02-15 00:00
baumholder (germany),,Germany,triangle,three red lights/triangle pattern/gust blackness between the three lights..,49.616667,7.333333,1992-02-15,23:30,1992-02-15 23:30
glasgow (uk/scotland),,United Kingdom,circle,FEB 1996 SHAPE ROUND COLOUR BLACK SIGHTED CALDERBANK SCOTLAND,55.833333,-4.25,1996-02-15,19:30,1996-02-15 19:30
newborough (vic&#44 australia),,Australia,triangle,a large triangle with orange lights on each of the three corners,53.164868,-4.359065,1998-02-15,20:00,1998-02-15 20:00
kosovo,,Kosovo,light,There was 3 of us standing outside having a smoke when a light object appeared and hovered over the town for approx 30 secs then sped o,42.581372,20.889336,2000-02-15,20:00,2000-02-15 20:00
leicester (uk/england),,United Kingdom,light,looked up to see a lit up patch in the sky. An almost giant plane (football pitch size) went through the gap where the light was. my fr,52.664913,-1.034894,2003-02-15,07:45,2003-02-15 07:45
birmingham (uk/england),,United Kingdom,flash,My sister Kate and her family were looking out of a window in the family home at what they thought was a particularly bright star in th,52.466667,-1.916667,2003-02-15,20:30,2003-02-15 20:30
