city,state,country,shape,comments,latitude,longitude,date,time,datetime
kristiansand (norway),,Norway,disk,amasing up and close ufo sighting - two white lights with red pulsating lights in the center,58.147578,7.996627,2007-10-17,22:00,2007-10-17 22:00
dundalk (ireland),,Ireland,other,Glowing object in sky&#44 Ireland.,53.997945,-6.405957,2008-10-17,21:30,2008-10-17 21:30
bracknell (uk/england),,United Kingdom,circle,blue/white light moving away quickly,51.416667,-0.75,2008-10-17,22:00,2008-10-17 22:00
plymouth (uk/england),,United Kingdom,light,7 bright orange lights flying over&#44 some in formation and changing speeds then disapearing,50.396389,-4.138611,2009-10-17,00:00,2009-10-17 00:00
toton&#44 nottingham (uk/england),,Uk/england,sphere,Red &amp; White Spheres Hovering Low &amp; White Sphere Being Observed By Helicopter,52.906367,-1.257422,2012-10-17,21:30,2012-10-17 21:30
wymondham (norfolk)(uk/england),,United Kingdom,other,Stingray shaped with green/blue light each side of the craft being guided to base by 4/5 F15&#39s ?,52.566667,1.116667,2013-10-17,18:50,2013-10-17 18:50
manchester (uk/england),,United Kingdom,triangle,Saw a triangular object at night with 3 red lights on the corners&#44 flashing in a regular pattern. The lights appeared to be right up to,53.5,-2.216667,2002-10-18,20:35,2002-10-18 20:35
tattonhall (uk/england),,Uk/england,teardrop,Dear sir or madam i recently reported across the world via the net [including nasa of which i have emailed six times but to no evail]of,53.120933,-2.771825,2004-10-18,01:00,2004-10-18 01:00
uk/england,,Fuck,cylinder,cigar shape object that hoverd above a house then at speed whent in to the sky,52.355518,-1.17432,2004-10-18,20:00,2004-10-18 20:00
gillingham (uk/england),,United Kingdom,light,Large and Bright light with Steady Course Vanished,51.4,0.566667,2007-10-18,21:10,2007-10-18 21:10
manchester (uk/england),,United Kingdom,sphere,three silent white balls in a triangle formation floating through the sky.,53.5,-2.216667,2007-10-18,23:45,2007-10-18 23:45
leuven (belgium),,Belgium,circle,very fast yellow dot.,50.866667,4.7,2008-10-18,23:45,2008-10-18 23:45
ackworth (uk/england),,United Kingdom,rectangle,silver shiny cube&#44 stationary in sky&#44 suns light reflecting off it. (near garden center above tree line Ackworth&#44 England Winter 2010),53.65,-1.333333,2010-10-18,15:00,2010-10-18 15:00
cardiff (south wales) (uk/wales),,United Kingdom,light,Bright light that hovers for a whike then disappears,51.5,-3.2,2012-10-18,05:50,2012-10-18 05:50
heer (belgium),,Belgium,unknown,Lights going slow to fast.,50.75368,5.30209,2013-10-18,19:19,2013-10-18 19:19
wicklow (republic of ireland),,Ireland,egg,HOVERING LIGHTS OUTSIDE OUR WINDOW,52.980821,-6.044589,2001-10-19,00:30,2001-10-19 00:30
fareham (uk/england),,United Kingdom,other,Turquoise smoky light crossing the sky&#44 duration:second,50.85,-1.183333,2003-10-19,19:00,2003-10-19 19:00
colwyn bay (uk/wales&#44 north country),,United Kingdom,other,Aeroplane which turned into cigar light shape&#44 then a circle of red/green light in North Wales UK,53.3,-3.75,2005-10-19,01:30,2005-10-19 01:30
london (uk/england),,United Kingdom,light,19/10/06 - Wood Green&#44 London&#44 United Kingdom - Brilliant White pulsating object in the clouds,51.514125,-0.093689,2006-10-19,11:50,2006-10-19 11:50
leamington spa (uk/england),,United Kingdom,diamond,2 unexplained objects stationary in the sky for 20 minutes&#44 took a photograph.,52.3,-1.533333,2007-10-19,17:30,2007-10-19 17:30
blandford forum (uk/england),,United Kingdom,unknown,White dot moving in triangular pattern.,50.866667,-2.166667,2012-10-19,06:20,2012-10-19 06:20
