city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
martinez,ca,United States,changing,3600.0,1 hour,10/19/1999,38.0194444,-122.1330556,10/10/1999,00:01
kansas city,ks,United States,unknown,600.0,5-10 min.,10/19/1999,39.1141667,-94.6272222,10/10/1999,04:00
dallas,tx,United States,other,10.0,10 seconds,11/20/2001,32.7833333,-96.8,10/10/1999,06:00
san diego,ca,United States,fireball,3600.0,1 hour,10/19/1999,32.7152778,-117.1563889,10/10/1999,11:00
kennewick,wa,United States,sphere,45.0,45 secs,10/19/1999,46.2113889,-119.1361111,10/10/1999,12:40
hayward,ca,United States,circle,90.0,60-90 sec,11/20/2001,37.6688889,-122.0797222,10/10/1999,20:35
rachel,nv,United States,light,10800.0,3 hours,5/24/2005,37.6447222,-115.7427778,10/10/1999,21:00
humphrey,ne,United States,sphere,300.0,5 min,2/14/2006,41.6916667,-97.4841667,10/10/1999,21:30
casey key (north end of),fl,United States,triangle,120.0,several minutes,9/19/2002,27.150053,-82.480653,10/10/1999,22:30
elgin,or,United States,chevron,240.0,4 minutes,10/19/1999,45.565,-117.9163889,10/10/1999,22:30
lewiston,mi,United States,oval,2700.0,45 minutes,10/19/1999,44.8838889,-84.3055556,10/10/1999,23:45
perryville,mo,United States,oval,180.0,3 minutes,12/2/2000,37.7241667,-89.8611111,10/10/2000,03:00
boynton beach,fl,United States,other,10.0,10 seconds,12/2/2000,26.525,-80.0666667,10/10/2000,06:15
victoria (canada),bc,Canada,cylinder,30.0,30seconds,12/2/2000,46.216667,-63.483333,10/10/2000,07:30
jueanu,wi,United States,triangle,45.0,45 seconds,12/2/2000,43.40555,-88.705104,10/10/2000,16:00
valley park area of st. louis,mo,United States,oval,15.0,15 seconds,12/2/2000,38.627003,-90.199404,10/10/2000,20:20
brinktown,mo,United States,light,1800.0,30 min.,12/2/2000,38.1266667,-92.0844444,10/10/2000,20:30
florence,ky,United States,light,5.0,4-5 seconds,12/2/2000,38.9988889,-84.6266667,10/10/2000,21:30
seattle (west),wa,United States,unknown,10.0,10 sec,2/11/2003,47.6063889,-122.3308333,10/10/2000,21:30
port orchard,wa,United States,diamond,60.0,1min,5/12/2009,47.5405556,-122.635,10/10/2000,22:00
rockwell city,ia,United States,triangle,240.0,4 min.s,7/1/2002,42.3952778,-94.6336111,10/10/2001,03:00
sydney (nsw&#44 australia),,Australia,formation,180.0,3 minutes,11/20/2001,-33.861481,151.205475,10/10/2001,04:33
vancouver (canada),bc,Canada,other,300.0,+5 minutes,5/12/2011,49.25,-123.133333,10/10/2001,20:10
