city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
dundee (uk/scotland),,United Kingdom,teardrop,8.0,8 seconds,11/28/2007,56.5,-2.966667,10/22/2007,24:00
kirkby in ashfield (uk/england),,United Kingdom,fireball,300.0,5 mins,10/31/2008,53.083333,-1.266667,10/22/2008,19:25
morden&#44 surrey (uk/england),,United Kingdom,triangle,1200.0,20 minutes,12/12/2009,51.394943,-0.19446,10/22/2009,21:30
stockholm (sweden),,Sweden,triangle,600.0,10min,4/30/2004,59.329323,18.068581,10/23/2000,00:30
wimborne&#44 dorset (uk/england),,United Kingdom,sphere,240.0,4 mins,10/30/2006,50.800657,-1.984495,10/23/2006,14:15
burnley  (lancashire) (uk/england),,United Kingdom,fireball,180.0,3 mins,11/28/2007,53.8,-2.233333,10/23/2007,20:30
rotherham (uk/england),,United Kingdom,circle,2400.0,40 minutes,11/20/2002,53.433333,-1.35,10/24/2002,11:00
cheltenham (uk/england),,United Kingdom,light,600.0,10 minutes,10/28/2002,51.9,-2.083333,10/24/2002,21:00
lancaster (uk/england),,United Kingdom,sphere,120.0,2 minutes,11/26/2003,54.066667,-2.833333,10/24/2003,22:16
manchester (uk/england),,United Kingdom,formation,900.0,15 minutes,11/3/2005,53.5,-2.216667,10/24/2005,22:00
rugby warks (uk/england),,United Kingdom,light,20.0,20 seconds,12/7/2006,52.370878,-1.265032,10/24/2006,17:34
hull (uk/england),,United Kingdom,triangle,30.0,30 seconds,10/30/2006,53.716667,-0.333333,10/24/2006,21:55
stevenage (uk/england),,United Kingdom,disk,120.0,2 minutes,11/28/2007,51.916667,-0.216667,10/24/2007,17:40
aldershot (uk/england),,United Kingdom,fireball,60.0,1 min,11/28/2007,51.25,-0.766667,10/24/2007,18:03
salford (manchester) (uk/england),,United Kingdom,circle,60.0,1 min,10/31/2008,52.033333,-0.633333,10/24/2008,24:00
morden&#44 surrey (uk/england),,United Kingdom,disk,600.0,ten minutes,12/12/2009,51.394943,-0.19446,10/24/2009,16:00
hayward&#39s heath (uk/england),,United Kingdom,unknown,120.0,2 minutes,10/30/2012,50.999041,-0.106333,10/24/2012,00:02
sion mills (northern ireland),,Ireland,fireball,45.0,3/4 seconds,8/14/2007,54.78535,-7.47427,10/25/1995,20:45
hamilton (uk/scotland),,United Kingdom,cigar,120.0,2 mins.,9/2/2005,55.766667,-4.033333,10/25/2001,23:00
paphos (cyprus),,Cyprus,sphere,120.0,2 minutes,12/7/2006,34.772013,32.429737,10/25/2006,20:25
